customer_id,full_name,gender,age_group,income_level,credit_score,city,region,date_joined
84,Kwame Balogun,Male,18-25,Low,365,Accra,Central Africa,2021-10-11
85,Thabo Kagiso,Male,26-35,High,697,Lagos,West Africa,2020-07-23
86,Bola Mensah,Female,46-60,Low,460,Kigali,West Africa,2022-11-23
87,Thabo Abiola,Female,18-25,Low,663,Accra,East Africa,2021-10-03
88,Bola Mensah,Male,60+,Middle,614,Nairobi,Central Africa,2021-06-03
89,Bola Acheampong,Male,36-45,Middle,801,Nairobi,West Africa,2023-11-15
90,Kwame Acheampong,Female,60+,Low,758,Lagos,West Africa,2025-03-29
91,Lindiwe Onyango,Male,46-60,Low,522,Kampala,West Africa,2024-07-14
92,Thabo Kagiso,Male,26-35,Low,466,Port Harcourt,West Africa,2023-02-28
93,Chinedu Mugabe,Male,26-35,Middle,548,Kigali,Central Africa,2024-08-17
94,Ngozi Acheampong,Female,18-25,Middle,408,Port Harcourt,East Africa,2025-03-29
95,Chinedu Onyango,Male,36-45,Low,787,Kigali,West Africa,2024-02-09
96,Sibongile Onyango,Male,60+,Low,482,Abuja,East Africa,2023-07-18
97,Amina Mensah,Male,60+,High,702,Johannesburg,West Africa,2024-08-08
98,Bola Onyango,Female,60+,Middle,529,Kigali,West Africa,2024-10-11
99,Kwame Acheampong,Male,36-45,High,546,Kigali,Southern Africa,2021-03-22
100,Kofi Abiola,Male,18-25,Middle,690,Port Harcourt,Southern Africa,2022-09-03
101,Yemi Onyango,Female,36-45,Middle,575,Nairobi,East Africa,2025-03-20
102,Ngozi Balogun,Male,18-25,Upper-Middle,719,Lagos,East Africa,2025-04-15
103,Thabo Acheampong,Female,26-35,High,769,Kigali,Central Africa,2024-11-06
104,Lindiwe Onyango,Female,46-60,Low,356,Kampala,Central Africa,2022-12-24
105,Sibongile Acheampong,Female,46-60,Middle,524,Lagos,West Africa,2021-08-01
106,Bola Acheampong,Female,26-35,Middle,580,Lagos,East Africa,2021-07-02
107,Ngozi Abiola,Male,46-60,Upper-Middle,724,Lagos,West Africa,2023-03-06
108,Kofi Kagiso,Female,46-60,High,673,Johannesburg,East Africa,2022-09-17
109,Thabo Mugabe,Female,26-35,Low,365,Kigali,Southern Africa,2024-05-28
110,Sibongile Okafor,Female,18-25,Middle,743,Nairobi,East Africa,2022-03-09
111,Kofi Mugabe,Female,26-35,Middle,663,Nairobi,East Africa,2025-01-11
112,Sibongile Okafor,Female,18-25,Upper-Middle,426,Abuja,West Africa,2024-02-10
113,Thabo Balogun,Female,36-45,Low,383,Kigali,West Africa,2025-03-27
114,Bola Acheampong,Male,18-25,High,659,Johannesburg,Southern Africa,2023-12-15
115,Thabo Balogun,Female,46-60,Low,514,Kampala,West Africa,2024-03-02
116,Amina Acheampong,Male,46-60,High,693,Nairobi,East Africa,2023-12-22
117,Amina Mugabe,Female,46-60,Upper-Middle,509,Lagos,West Africa,2023-05-05
118,Yemi Balogun,Female,60+,Upper-Middle,588,Port Harcourt,Southern Africa,2020-07-22
119,Lindiwe Acheampong,Male,26-35,Upper-Middle,758,Johannesburg,Southern Africa,2023-01-22
120,Thabo Balogun,Male,46-60,Upper-Middle,637,Abuja,Southern Africa,2021-03-30
121,Bola Okafor,Female,60+,Upper-Middle,768,Abuja,Southern Africa,2021-08-04
122,Amina Acheampong,Female,36-45,Upper-Middle,649,Johannesburg,Southern Africa,2024-10-21
123,Kofi Acheampong,Female,36-45,Middle,646,Port Harcourt,Southern Africa,2021-03-05
124,Ngozi Okafor,Female,18-25,Low,402,Kigali,East Africa,2024-09-23
125,Chinedu Acheampong,Male,46-60,Low,391,Kigali,Southern Africa,2024-05-09
126,Yemi Balogun,Female,60+,Middle,725,Port Harcourt,Central Africa,2023-11-16
127,Yemi Balogun,Male,36-45,Middle,533,Johannesburg,Southern Africa,2023-05-15
128,Lindiwe Abiola,Female,26-35,Upper-Middle,481,Abuja,Southern Africa,2024-01-21
129,Ngozi Abiola,Male,36-45,Low,533,Accra,East Africa,2021-01-26
130,Kwame Abiola,Male,26-35,Middle,833,Lagos,Southern Africa,2022-01-20
131,Amina Mensah,Female,36-45,Low,610,Abuja,Central Africa,2020-08-02
132,Thabo Mensah,Male,36-45,High,718,Johannesburg,East Africa,2021-04-23
133,Kofi Onyango,Male,26-35,High,436,Kampala,Southern Africa,2021-11-19
134,Yemi Balogun,Female,36-45,Low,628,Abuja,East Africa,2024-10-22
135,Kofi Acheampong,Male,46-60,Low,516,Kigali,East Africa,2024-04-01
136,Lindiwe Balogun,Male,18-25,Middle,354,Abuja,Southern Africa,2020-12-20
137,Bola Balogun,Male,18-25,Upper-Middle,522,Kigali,Central Africa,2022-10-12
138,Sibongile Kagiso,Male,60+,Low,717,Lagos,West Africa,2024-06-17
139,Kwame Mugabe,Female,26-35,Upper-Middle,657,Port Harcourt,West Africa,2020-10-17
140,Ngozi Onyango,Female,60+,Middle,575,Kigali,Central Africa,2022-06-18
141,Ngozi Balogun,Female,26-35,Middle,531,Accra,Southern Africa,2023-04-14
142,Sibongile Mensah,Female,36-45,Upper-Middle,495,Lagos,West Africa,2020-06-29
143,Amina Okafor,Male,36-45,Middle,844,Kigali,Central Africa,2022-09-22
144,Thabo Abiola,Female,36-45,High,315,Port Harcourt,East Africa,2025-02-16
145,Kofi Abiola,Female,18-25,Middle,824,Nairobi,Southern Africa,2024-12-27
146,Kofi Kagiso,Female,36-45,Middle,763,Johannesburg,Central Africa,2023-01-13
147,Sibongile Kagiso,Female,60+,Upper-Middle,684,Port Harcourt,West Africa,2020-12-20
148,Kofi Abiola,Female,46-60,High,360,Abuja,West Africa,2020-12-20
149,Kwame Mugabe,Female,46-60,Low,835,Kigali,East Africa,2023-10-05
150,Amina Balogun,Male,26-35,High,446,Johannesburg,Central Africa,2020-07-06
151,Yemi Mugabe,Female,60+,Upper-Middle,409,Kigali,East Africa,2022-05-14
152,Yemi Kagiso,Female,60+,Upper-Middle,577,Kigali,East Africa,2024-07-10
153,Yemi Acheampong,Female,36-45,Middle,721,Abuja,Central Africa,2024-03-08
154,Bola Kagiso,Female,26-35,Upper-Middle,769,Kigali,West Africa,2024-09-04
155,Amina Acheampong,Male,60+,Upper-Middle,536,Lagos,West Africa,2022-07-02
156,Kofi Mugabe,Male,60+,Upper-Middle,578,Abuja,West Africa,2024-05-10
157,Lindiwe Mensah,Female,60+,Low,446,Abuja,Central Africa,2023-05-05
158,Amina Okafor,Female,46-60,Upper-Middle,406,Kigali,East Africa,2023-04-26
159,Amina Mensah,Female,26-35,Middle,581,Accra,West Africa,2022-10-02
160,Bola Abiola,Male,60+,Upper-Middle,740,Lagos,East Africa,2024-08-07
161,Kofi Mensah,Female,60+,High,536,Nairobi,Central Africa,2020-11-30
162,Amina Abiola,Female,60+,Upper-Middle,826,Johannesburg,Central Africa,2020-12-10
163,Sibongile Acheampong,Female,26-35,High,778,Lagos,Central Africa,2023-04-03
164,Thabo Okafor,Male,46-60,Middle,502,Lagos,Southern Africa,2022-03-02
165,Chinedu Okafor,Male,60+,Low,574,Johannesburg,West Africa,2025-01-11
166,Amina Abiola,Female,46-60,Upper-Middle,387,Port Harcourt,West Africa,2024-11-23
167,Yemi Balogun,Female,18-25,Low,350,Accra,Southern Africa,2020-08-10
168,Chinedu Acheampong,Male,18-25,Middle,338,Kigali,Southern Africa,2023-03-30
169,Lindiwe Balogun,Male,36-45,Low,764,Kampala,Southern Africa,2023-01-29
170,Amina Abiola,Female,18-25,Upper-Middle,585,Accra,Southern Africa,2020-12-11
171,Yemi Kagiso,Male,46-60,High,561,Kampala,Central Africa,2025-01-18
172,Sibongile Kagiso,Female,60+,Upper-Middle,429,Johannesburg,West Africa,2023-03-18
173,Thabo Balogun,Male,18-25,High,480,Lagos,Central Africa,2023-10-07
174,Yemi Mugabe,Female,26-35,Upper-Middle,329,Port Harcourt,West Africa,2023-12-12
175,Kwame Mensah,Female,46-60,Low,575,Nairobi,East Africa,2024-02-22
176,Lindiwe Kagiso,Male,18-25,Upper-Middle,815,Kigali,Central Africa,2022-01-31
177,Bola Onyango,Female,26-35,Middle,306,Lagos,West Africa,2025-05-22
178,Amina Mugabe,Female,18-25,Upper-Middle,481,Kigali,Southern Africa,2021-04-06
179,Yemi Abiola,Male,36-45,Low,342,Kampala,West Africa,2022-10-23
180,Chinedu Onyango,Male,18-25,High,455,Kigali,East Africa,2024-10-17
181,Lindiwe Balogun,Male,18-25,High,400,Lagos,Central Africa,2021-03-08
182,Chinedu Acheampong,Female,60+,Low,686,Port Harcourt,Central Africa,2024-12-19
183,Sibongile Balogun,Male,60+,Upper-Middle,804,Accra,Southern Africa,2025-03-25
184,Thabo Acheampong,Female,60+,Upper-Middle,806,Lagos,Southern Africa,2022-10-30
185,Bola Balogun,Female,18-25,Upper-Middle,802,Kigali,East Africa,2022-03-26
186,Kofi Mugabe,Female,18-25,Low,598,Port Harcourt,Southern Africa,2023-08-13
187,Lindiwe Acheampong,Male,60+,Low,619,Johannesburg,East Africa,2025-03-13
188,Ngozi Abiola,Female,18-25,Upper-Middle,845,Accra,West Africa,2023-08-07
189,Kofi Mugabe,Female,46-60,Low,847,Accra,East Africa,2024-05-15
190,Kofi Acheampong,Female,36-45,Low,641,Port Harcourt,West Africa,2021-12-27
191,Ngozi Balogun,Male,26-35,Upper-Middle,746,Port Harcourt,Southern Africa,2023-04-28
192,Lindiwe Onyango,Female,60+,Upper-Middle,710,Abuja,West Africa,2022-04-07
193,Yemi Balogun,Male,18-25,High,577,Port Harcourt,East Africa,2022-01-22
194,Bola Okafor,Male,18-25,Low,557,Port Harcourt,Southern Africa,2022-05-25
195,Kwame Acheampong,Male,26-35,Low,518,Abuja,East Africa,2021-12-29
196,Ngozi Mugabe,Male,36-45,Low,726,Lagos,East Africa,2021-07-25
197,Yemi Acheampong,Female,18-25,Upper-Middle,767,Lagos,West Africa,2021-05-08
198,Yemi Balogun,Male,46-60,High,373,Abuja,East Africa,2025-04-17
199,Bola Mensah,Male,18-25,Upper-Middle,372,Port Harcourt,Southern Africa,2022-11-27
200,Lindiwe Kagiso,Female,18-25,Upper-Middle,722,Kampala,Southern Africa,2023-09-30
201,Bola Balogun,Female,18-25,Low,594,Accra,West Africa,2023-05-03
202,Thabo Okafor,Male,46-60,Middle,623,Abuja,Central Africa,2021-02-16
203,Amina Okafor,Male,26-35,Low,331,Port Harcourt,Central Africa,2021-11-15
204,Kwame Mensah,Male,46-60,Middle,358,Nairobi,East Africa,2023-08-01
205,Lindiwe Onyango,Male,46-60,Upper-Middle,333,Accra,Central Africa,2023-07-25
206,Lindiwe Mugabe,Female,60+,Low,388,Kigali,Southern Africa,2022-03-15
207,Ngozi Okafor,Female,36-45,Middle,678,Lagos,Southern Africa,2021-03-29
208,Sibongile Okafor,Male,60+,Low,330,Lagos,Central Africa,2023-03-02
209,Chinedu Balogun,Female,36-45,Middle,346,Lagos,Central Africa,2020-07-05
210,Thabo Balogun,Male,26-35,Middle,576,Kigali,Southern Africa,2022-05-29
211,Kofi Abiola,Male,36-45,Low,796,Nairobi,Southern Africa,2020-10-31
212,Yemi Kagiso,Female,26-35,Upper-Middle,305,Kampala,Central Africa,2024-05-07
213,Kofi Kagiso,Female,18-25,Low,841,Port Harcourt,Central Africa,2022-10-11
214,Lindiwe Abiola,Male,36-45,High,426,Johannesburg,Central Africa,2022-10-11
215,Chinedu Mensah,Female,26-35,Upper-Middle,719,Nairobi,Central Africa,2022-03-11
216,Kofi Kagiso,Male,36-45,Middle,411,Kigali,West Africa,2025-03-30
217,Yemi Mugabe,Male,26-35,High,590,Nairobi,Southern Africa,2021-12-16
218,Amina Mugabe,Female,60+,Middle,773,Abuja,Central Africa,2022-05-25
219,Kofi Balogun,Female,36-45,Upper-Middle,635,Kampala,East Africa,2023-05-02
220,Sibongile Kagiso,Female,46-60,High,538,Abuja,West Africa,2025-05-04
221,Amina Mugabe,Female,36-45,Upper-Middle,372,Kigali,West Africa,2022-08-15
222,Sibongile Okafor,Male,60+,Low,572,Johannesburg,East Africa,2020-07-12
223,Chinedu Kagiso,Female,60+,Middle,416,Accra,West Africa,2024-11-14
224,Thabo Mensah,Female,46-60,High,764,Kigali,Central Africa,2021-09-08
225,Amina Onyango,Male,60+,Middle,530,Lagos,East Africa,2022-01-27
226,Amina Acheampong,Female,46-60,Low,427,Accra,East Africa,2025-04-14
227,Sibongile Kagiso,Female,36-45,Upper-Middle,521,Kampala,West Africa,2024-07-06
228,Kofi Onyango,Male,18-25,Low,593,Nairobi,Southern Africa,2020-11-29
229,Lindiwe Okafor,Male,26-35,Low,327,Port Harcourt,Central Africa,2022-08-11
230,Ngozi Mensah,Female,46-60,Middle,608,Port Harcourt,East Africa,2023-09-26
231,Yemi Kagiso,Female,26-35,Upper-Middle,643,Nairobi,Central Africa,2020-12-17
232,Yemi Onyango,Male,60+,Middle,567,Nairobi,Central Africa,2024-12-22
233,Thabo Acheampong,Female,36-45,Upper-Middle,577,Kampala,Central Africa,2022-09-11
234,Sibongile Abiola,Male,46-60,Low,806,Kigali,East Africa,2024-12-04
235,Sibongile Acheampong,Male,46-60,Middle,548,Johannesburg,Southern Africa,2023-06-24
236,Yemi Abiola,Female,46-60,High,478,Abuja,Southern Africa,2022-07-03
237,Thabo Okafor,Female,46-60,High,501,Abuja,West Africa,2024-03-24
238,Kwame Kagiso,Female,60+,Low,514,Johannesburg,West Africa,2025-03-24
239,Ngozi Onyango,Male,36-45,Upper-Middle,850,Accra,East Africa,2023-11-16
240,Kofi Acheampong,Female,18-25,High,590,Lagos,East Africa,2024-12-16
241,Kofi Acheampong,Male,60+,Upper-Middle,725,Lagos,Central Africa,2022-12-06
242,Ngozi Onyango,Male,18-25,High,500,Nairobi,Central Africa,2020-06-19
243,Bola Onyango,Female,60+,Middle,468,Johannesburg,West Africa,2021-04-09
244,Chinedu Mensah,Female,36-45,High,676,Accra,Central Africa,2020-06-21
245,Thabo Okafor,Female,36-45,Low,770,Accra,Central Africa,2021-01-31
246,Lindiwe Balogun,Female,26-35,Middle,558,Port Harcourt,Central Africa,2021-10-26
247,Ngozi Balogun,Male,26-35,High,755,Port Harcourt,East Africa,2020-09-04
248,Kwame Abiola,Female,36-45,Middle,499,Accra,West Africa,2025-02-14
249,Yemi Okafor,Female,18-25,Upper-Middle,569,Lagos,Southern Africa,2025-03-21
250,Kofi Kagiso,Male,46-60,Low,761,Kigali,West Africa,2023-03-18
251,Thabo Acheampong,Male,60+,Upper-Middle,633,Abuja,Central Africa,2023-08-03
252,Amina Kagiso,Female,26-35,Middle,518,Accra,Southern Africa,2024-12-09
253,Kwame Mugabe,Female,46-60,Upper-Middle,434,Abuja,East Africa,2024-04-09
254,Sibongile Mensah,Female,60+,Upper-Middle,655,Port Harcourt,Southern Africa,2021-11-21
255,Kwame Abiola,Male,26-35,High,784,Port Harcourt,West Africa,2021-09-21
256,Sibongile Okafor,Female,36-45,Low,838,Accra,East Africa,2024-12-22
257,Kofi Okafor,Male,36-45,Upper-Middle,828,Kampala,East Africa,2020-10-14
258,Sibongile Mensah,Male,60+,Middle,789,Accra,East Africa,2022-10-18
259,Amina Mugabe,Female,36-45,High,377,Nairobi,East Africa,2020-06-05
260,Chinedu Onyango,Female,18-25,High,684,Lagos,Central Africa,2021-11-30
261,Bola Okafor,Female,36-45,Middle,779,Port Harcourt,West Africa,2024-06-28
262,Thabo Abiola,Female,60+,Upper-Middle,446,Port Harcourt,West Africa,2023-04-03
263,Kwame Okafor,Male,36-45,Middle,389,Nairobi,East Africa,2020-12-06
264,Yemi Balogun,Female,26-35,Middle,766,Kigali,Southern Africa,2021-09-09
265,Ngozi Mugabe,Female,46-60,Middle,525,Nairobi,East Africa,2022-08-30
266,Lindiwe Acheampong,Female,60+,Upper-Middle,830,Johannesburg,East Africa,2025-04-27
267,Chinedu Kagiso,Male,60+,High,757,Abuja,Central Africa,2020-07-18
268,Sibongile Abiola,Male,60+,Upper-Middle,667,Abuja,Central Africa,2022-11-12
269,Ngozi Balogun,Female,46-60,Upper-Middle,532,Nairobi,Southern Africa,2021-09-20
270,Yemi Mensah,Male,60+,Low,826,Johannesburg,Central Africa,2024-08-28
271,Lindiwe Acheampong,Female,60+,Upper-Middle,554,Johannesburg,East Africa,2025-05-19
272,Yemi Okafor,Male,46-60,Low,640,Abuja,Central Africa,2022-03-21
273,Sibongile Abiola,Female,36-45,High,604,Abuja,East Africa,2025-03-13
274,Thabo Balogun,Female,46-60,Low,467,Accra,West Africa,2024-01-18
275,Bola Okafor,Female,18-25,Low,351,Kampala,Central Africa,2024-03-04
276,Amina Onyango,Female,36-45,Middle,731,Lagos,Central Africa,2024-05-15
277,Thabo Abiola,Female,46-60,Middle,468,Nairobi,East Africa,2020-10-20
278,Sibongile Kagiso,Male,18-25,Low,651,Kigali,Central Africa,2022-01-27
279,Kofi Kagiso,Female,36-45,Middle,806,Abuja,Southern Africa,2020-12-12
280,Sibongile Okafor,Male,18-25,High,588,Nairobi,Southern Africa,2023-12-28
281,Bola Abiola,Female,26-35,Upper-Middle,560,Lagos,West Africa,2024-05-19
282,Sibongile Kagiso,Male,26-35,High,340,Kampala,West Africa,2020-09-02
283,Amina Balogun,Female,46-60,High,565,Abuja,West Africa,2023-08-19
284,Sibongile Okafor,Female,18-25,High,635,Abuja,Central Africa,2021-11-27
285,Yemi Onyango,Male,36-45,Upper-Middle,837,Port Harcourt,Central Africa,2023-09-04
286,Kwame Mensah,Male,36-45,Low,757,Johannesburg,Southern Africa,2021-04-05
287,Amina Mugabe,Female,46-60,Upper-Middle,408,Kigali,Southern Africa,2024-10-30
288,Chinedu Mensah,Female,18-25,Middle,573,Kigali,Southern Africa,2024-09-09
289,Bola Kagiso,Male,26-35,High,825,Abuja,West Africa,2023-10-11
290,Kofi Abiola,Male,36-45,Low,484,Accra,Southern Africa,2025-03-22
291,Thabo Okafor,Male,46-60,High,648,Johannesburg,East Africa,2024-09-02
292,Yemi Mugabe,Female,60+,Upper-Middle,756,Kigali,East Africa,2022-04-26
293,Kofi Mugabe,Male,46-60,Middle,439,Kampala,West Africa,2023-07-10
294,Kwame Acheampong,Male,60+,High,448,Abuja,Central Africa,2023-06-08
295,Bola Mugabe,Female,26-35,High,448,Kampala,Central Africa,2023-03-11
296,Ngozi Mensah,Female,36-45,Upper-Middle,347,Accra,East Africa,2023-08-04
297,Lindiwe Abiola,Female,46-60,Middle,700,Port Harcourt,West Africa,2025-03-30
298,Kwame Acheampong,Female,46-60,Middle,327,Port Harcourt,Central Africa,2022-11-02
299,Chinedu Abiola,Female,18-25,High,564,Port Harcourt,Central Africa,2021-09-02
300,Amina Kagiso,Male,26-35,Upper-Middle,571,Abuja,Southern Africa,2022-06-20
